"scenario","model","ts_name","rmse_corr","rmse_base"
"Pooled","RF","ALL",0.819216697068996,8.96223880086562
"Pooled","RF","Range_24 25 m",0.500629267922895,7.60162525814689
"Pooled","RF","Range_24 45 m",0.45528880755947,7.61017634712074
"Pooled","RF","Rosh_HaNikra 15 m",0.755506535292138,6.80955650144437
"Pooled","RF","Rosh_HaNikra 25 m",1.04539052154231,9.84114400853354
"Pooled","RF","Ashkelon 10 m",1.11443968909521,10.6843817795821
"Pooled","RF","Ashkelon 15 m",0.637868824337211,9.92977011603862
"Pooled","RF","Rosh_HaNikra 45 m",0.597056878637874,7.33411099974592
"Pooled","LSTM_2h","ALL",2.12099284331725,8.96223880086562
"Pooled","LSTM_2h","Range_24 25 m",1.63737631961367,7.60162525814689
"Pooled","LSTM_2h","Range_24 45 m",1.45664332866613,7.61017634712074
"Pooled","LSTM_2h","Rosh_HaNikra 15 m",2.81635561507358,6.80955650144437
"Pooled","LSTM_2h","Rosh_HaNikra 25 m",3.05348667798624,9.84114400853354
"Pooled","LSTM_2h","Ashkelon 10 m",1.49149984932386,10.6843817795821
"Pooled","LSTM_2h","Ashkelon 15 m",1.66763695634052,9.92977011603862
"Pooled","LSTM_2h","Rosh_HaNikra 45 m",2.59583470022139,7.33411099974592
"Specialized","RF","Ashkelon_ALL",0.99074907174123,10.4256353712856
"Specialized","RF","Ashkelon 10 m",1.17303704591404,10.6843817795821
"Specialized","RF","Ashkelon 15 m",0.502701734303879,9.92977011603862
"Specialized","LSTM_2h","Ashkelon_ALL",1.69810724882221,10.4256353712856
"Specialized","LSTM_2h","Ashkelon 10 m",1.8189303328027,10.6843817795821
"Specialized","LSTM_2h","Ashkelon 15 m",1.44855760319659,9.92977011603862
"Specialized","RF","Range_24_ALL",0.38329275011597,7.60590200435072
"Specialized","RF","Range_24 25 m",0.347090417709609,7.60162525814689
"Specialized","RF","Range_24 45 m",0.416359107642785,7.61017634712074
"Specialized","LSTM_2h","Range_24_ALL",1.41891111375314,7.60590200435072
"Specialized","LSTM_2h","Range_24 25 m",1.28652999707153,7.60162525814689
"Specialized","LSTM_2h","Range_24 45 m",1.53995391622589,7.61017634712074
"Specialized","RF","Rosh_HaNikra_ALL",0.769928785050407,8.57787758681132
"Specialized","RF","Rosh_HaNikra 15 m",0.687588969295297,6.80955650144437
"Specialized","RF","Rosh_HaNikra 25 m",0.873850208369801,9.84114400853354
"Specialized","RF","Rosh_HaNikra 45 m",0.492250971780695,7.33411099974592
"Specialized","LSTM_2h","Rosh_HaNikra_ALL",2.6542589877006,8.57787758681132
"Specialized","LSTM_2h","Rosh_HaNikra 15 m",2.87439992928178,6.80955650144437
"Specialized","LSTM_2h","Rosh_HaNikra 25 m",2.5043456916676,9.84114400853354
"Specialized","LSTM_2h","Rosh_HaNikra 45 m",2.62645439261659,7.33411099974592
