"model","window_size","perc","train_size","ts_name","rmse_corr","rmse_base","run","site","pipeline"
"RF",NA,1,24,"ALL",7.63870163853971,9.11907130153588,0,"harod2_sun","R"
"RF",NA,1,24,"ALL",7.67630643608779,9.11907130153588,1,"harod2_sun","R"
"RF",NA,1,24,"ALL",7.6064867268092,9.11907130153588,2,"harod2_sun","R"
"RF",NA,1,24,"ALL",7.67894903629184,9.11907130153588,3,"harod2_sun","R"
"RF",NA,1,24,"ALL",7.66216088626116,9.11907130153588,4,"harod2_sun","R"
"RF",NA,2,48,"ALL",7.28937576969624,9.11907130153588,0,"harod2_sun","R"
"RF",NA,2,48,"ALL",7.23949798359355,9.11907130153588,1,"harod2_sun","R"
"RF",NA,2,48,"ALL",7.170617376395,9.11907130153588,2,"harod2_sun","R"
"RF",NA,2,48,"ALL",7.1860275283815,9.11907130153588,3,"harod2_sun","R"
"RF",NA,2,48,"ALL",7.17613876441453,9.11907130153588,4,"harod2_sun","R"
"RF",NA,3,72,"ALL",6.95681892343659,9.11907130153588,0,"harod2_sun","R"
"RF",NA,3,72,"ALL",6.94546158264304,9.11907130153588,1,"harod2_sun","R"
"RF",NA,3,72,"ALL",6.93619600652273,9.11907130153588,2,"harod2_sun","R"
"RF",NA,3,72,"ALL",6.96664643497746,9.11907130153588,3,"harod2_sun","R"
"RF",NA,3,72,"ALL",7.00512137487973,9.11907130153588,4,"harod2_sun","R"
"RF",NA,7,168,"ALL",6.21101800301354,9.11907130153588,0,"harod2_sun","R"
"RF",NA,7,168,"ALL",6.14755529542278,9.11907130153588,1,"harod2_sun","R"
"RF",NA,7,168,"ALL",6.12996583633989,9.11907130153588,2,"harod2_sun","R"
"RF",NA,7,168,"ALL",6.13341305882721,9.11907130153588,3,"harod2_sun","R"
"RF",NA,7,168,"ALL",6.1406802739853,9.11907130153588,4,"harod2_sun","R"
"RF",NA,14,336,"ALL",5.54211089316074,9.11907130153588,0,"harod2_sun","R"
"RF",NA,14,336,"ALL",5.62883755019635,9.11907130153588,1,"harod2_sun","R"
"RF",NA,14,336,"ALL",5.5886663597498,9.11907130153588,2,"harod2_sun","R"
"RF",NA,14,336,"ALL",5.58259296343759,9.11907130153588,3,"harod2_sun","R"
"RF",NA,14,336,"ALL",5.54900797391532,9.11907130153588,4,"harod2_sun","R"
"RF",NA,21,504,"ALL",5.07850630695332,9.11907130153588,0,"harod2_sun","R"
"RF",NA,21,504,"ALL",5.08816351163112,9.11907130153588,1,"harod2_sun","R"
"RF",NA,21,504,"ALL",5.07392568692435,9.11907130153588,2,"harod2_sun","R"
"RF",NA,21,504,"ALL",5.0840507230536,9.11907130153588,3,"harod2_sun","R"
"RF",NA,21,504,"ALL",5.09583273501895,9.11907130153588,4,"harod2_sun","R"
"RF",NA,28,672,"ALL",5.19360452399772,9.11907130153588,0,"harod2_sun","R"
"RF",NA,28,672,"ALL",5.20473179490763,9.11907130153588,1,"harod2_sun","R"
"RF",NA,28,672,"ALL",5.18146678126105,9.11907130153588,2,"harod2_sun","R"
"RF",NA,28,672,"ALL",5.19672349866886,9.11907130153588,3,"harod2_sun","R"
"RF",NA,28,672,"ALL",5.21990049188172,9.11907130153588,4,"harod2_sun","R"
"RF",NA,35,840,"ALL",4.61182372151914,9.11907130153588,0,"harod2_sun","R"
"RF",NA,35,840,"ALL",4.56870001680994,9.11907130153588,1,"harod2_sun","R"
"RF",NA,35,840,"ALL",4.58349104926764,9.11907130153588,2,"harod2_sun","R"
"RF",NA,35,840,"ALL",4.60160724379122,9.11907130153588,3,"harod2_sun","R"
"RF",NA,35,840,"ALL",4.57230007538447,9.11907130153588,4,"harod2_sun","R"
"RF",NA,42,985,"ALL",4.49934728129102,9.11907130153588,0,"harod2_sun","R"
"RF",NA,42,985,"ALL",4.49515094628997,9.11907130153588,1,"harod2_sun","R"
"RF",NA,42,985,"ALL",4.47756416241292,9.11907130153588,2,"harod2_sun","R"
"RF",NA,42,985,"ALL",4.4774265016959,9.11907130153588,3,"harod2_sun","R"
"RF",NA,42,985,"ALL",4.49249403983007,9.11907130153588,4,"harod2_sun","R"
