"site","perc","pipeline","mean_rmse","sd_rmse","base_rmse"
"harod2_air",1,"Python",1.63788192754381,0.0131762809729915,2.1025325249653
"harod2_air",1,"R",1.52194395734306,0.00981757022508006,2.07031921452137
"harod2_air",2,"Python",1.35261024173116,0.0133944518547046,2.1025325249653
"harod2_air",2,"R",1.28067963432328,0.0062538130501257,2.07031921452137
"harod2_air",3,"Python",1.2797348242568,0.00925758397277526,2.1025325249653
"harod2_air",3,"R",1.23872619506983,0.00482350954140072,2.07031921452137
"harod2_air",7,"Python",1.74835455492859,0.016238694497812,2.1025325249653
"harod2_air",7,"R",1.6827578848299,0.0108811772488275,2.07031921452137
"harod2_air",14,"Python",1.81250803857626,0.0127258271032204,2.1025325249653
"harod2_air",14,"R",1.77723801897028,0.00909256329932715,2.07031921452137
"harod2_air",21,"Python",1.26878726631151,0.00375522671443435,2.1025325249653
"harod2_air",21,"R",1.27802320901223,0.00359714228387016,2.07031921452137
"harod2_air",28,"Python",1.24809916795535,0.0113356078106429,2.1025325249653
"harod2_air",28,"R",1.21898649099762,0.00451631047501648,2.07031921452137
"harod2_air",35,"Python",1.22586423268411,0.00840772523191918,2.1025325249653
"harod2_air",35,"R",1.17240384015645,0.00342789128387174,2.07031921452137
"harod2_air",42,"Python",1.13805005375031,0.00830334322182154,2.1025325249653
"harod2_air",42,"R",1.10799139685867,0.0022212829347633,2.07031921452137
"harod2_shd",1,"Python",5.76218837915642,0.033478731136413,10.7323197882456
"harod2_shd",1,"R",5.69212679168449,0.028586953569533,10.5223381718246
"harod2_shd",2,"Python",5.9106177810704,0.0380941834320212,10.7323197882456
"harod2_shd",2,"R",5.75937632800334,0.0260491867896556,10.5223381718246
"harod2_shd",3,"Python",5.93514600464768,0.0390671560584229,10.7323197882456
"harod2_shd",3,"R",6.0864430129909,0.0207754488622482,10.5223381718246
"harod2_shd",7,"Python",5.34971047696145,0.00769888420662369,10.7323197882456
"harod2_shd",7,"R",4.95751570094068,0.0089366099393423,10.5223381718246
"harod2_shd",14,"Python",5.3273252379508,0.0196866693730894,10.7323197882456
"harod2_shd",14,"R",5.13395633076295,0.00488761840255761,10.5223381718246
"harod2_shd",21,"Python",3.32996390289083,0.0255373665864322,10.7323197882456
"harod2_shd",21,"R",3.42627301067329,0.00506816857127975,10.5223381718246
"harod2_shd",28,"Python",3.02540903024387,0.0108382990369487,10.7323197882456
"harod2_shd",28,"R",3.06076506092569,0.0151290211108844,10.5223381718246
"harod2_shd",35,"Python",2.90082111824362,0.032836075022836,10.7323197882456
"harod2_shd",35,"R",2.7999043770218,0.00920420127185855,10.5223381718246
"harod2_shd",42,"Python",2.46968754319607,0.0137664513155505,10.7323197882456
"harod2_shd",42,"R",2.3865005946857,0.011594625632696,10.5223381718246
"harod2_sun",1,"Python",7.45844356977011,0.0814666989108811,9.01719510528874
"harod2_sun",1,"R",7.65252094479794,0.0302788892572753,9.11907130153588
"harod2_sun",2,"Python",6.7286769508919,0.0404231180079958,9.01719510528874
"harod2_sun",2,"R",7.21233148449616,0.0510287136425739,9.11907130153588
"harod2_sun",3,"Python",6.27874681185811,0.111478109119402,9.01719510528874
"harod2_sun",3,"R",6.96204886449191,0.0266797642101162,9.11907130153588
"harod2_sun",7,"Python",6.33280935927938,0.0627527733816872,9.01719510528874
"harod2_sun",7,"R",6.15252649351774,0.0333938955827729,9.11907130153588
"harod2_sun",14,"Python",6.33062650584444,0.0658875319277808,9.01719510528874
"harod2_sun",14,"R",5.57824314809196,0.0348123290468305,9.11907130153588
"harod2_sun",21,"Python",5.90715979608694,0.019684169708401,9.01719510528874
"harod2_sun",21,"R",5.08409579271627,0.00849967037558427,9.11907130153588
"harod2_sun",28,"Python",5.96740380934896,0.0446258178497256,9.01719510528874
"harod2_sun",28,"R",5.19928541814339,0.0142388912413157,9.11907130153588
"harod2_sun",35,"Python",5.42075805751363,0.0705567779095126,9.01719510528874
"harod2_sun",35,"R",4.58758442135448,0.0186492016138681,9.11907130153588
"harod2_sun",42,"Python",5.21086733325679,0.0724338034194652,9.01719510528874
"harod2_sun",42,"R",4.48839658630397,0.0102471018900731,9.11907130153588
